Symbol,Date,Open,High,Low,Close,Volume
A,05-Feb-2021,124.51,125.96,123.11,123.18,1919700
AA,05-Feb-2021,20.58,20.98,20.22,20.95,5242500
AAA,05-Feb-2021,25.1388,25.14,25.1388,25.14,1700
AAAU,05-Feb-2021,17.93,18.07,17.9101,18.04,398300
AAC.U,05-Feb-2021,10.7,10.75,10.55,10.55,528200
AACG,05-Feb-2021,10.02,10.12,5.6,6.33,18313700
AACQ,05-Feb-2021,11.23,11.74,11.19,11.3,1056600
AACQU,05-Feb-2021,12.01,12.57,12.01,12.12,26000
AACQW,05-Feb-2021,2.52,2.68,2.41,2.59,239500
AADR,05-Feb-2021,64.31,64.8399,64.31,64.8227,7100
AAI-B,05-Feb-2021,22.15,22.1501,22.075,22.15,4700
AAIC,05-Feb-2021,3.7,3.7349,3.64,3.69,105800
AAI-C,05-Feb-2021,22.0099,22.149,21.895,21.9899,2500
AAL,05-Feb-2021,17.6,17.67,17.07,17.19,30873300
AAMC,05-Feb-2021,21.91,22.5,21.478,22.14,7400
AAME,05-Feb-2021,3.75,15.97,3.6,5.2,111857600
AAN,05-Feb-2021,19.31,19.64,18.63,19.63,362500
AAOI,05-Feb-2021,11.51,11.82,11.37,11.73,509700
AAON,05-Feb-2021,77.7,78.71,76.72,77.64,97500
AAP,05-Feb-2021,159.98,160.25,156.5,157.28,877800
AAPL,05-Feb-2021,137.35,137.42,135.86,136.76,75607300
AAT,05-Feb-2021,28.85,28.99,28.41,28.81,110000
AAU,05-Feb-2021,0.73,0.76,0.7152,0.7451,3938000
AAWW,05-Feb-2021,53.33,54.8,53,53.73,473200
AAXJ,05-Feb-2021,98.31,98.73,97.95,98.73,1203600
AB,05-Feb-2021,38.42,38.78,38.1,38.47,499600
ABB,05-Feb-2021,28.9,28.99,28.7,28.82,1711300
ABBV,05-Feb-2021,109.63,110.27,108.44,108.73,7250800
ABC,05-Feb-2021,112.2,112.33,108.08,109.69,1832400
ABCB,05-Feb-2021,44.28,44.73,43.03,44,324500
ABCL,05-Feb-2021,46.9,47.45,45.68,46.55,458800
ABCM,05-Feb-2021,22.2568,23.23,22.2568,22.65,41000
ABEO,05-Feb-2021,2.62,2.62,2.31,2.58,3437300
ABEQ,05-Feb-2021,26.21,26.21,25.8402,25.95,5900
ABEV,05-Feb-2021,2.94,2.97,2.9,2.92,15308200
ABG,05-Feb-2021,155.28,156.315,151.54,155.12,194100
ABIO,05-Feb-2021,4.75,4.77,4.57,4.66,1103800
ABM,05-Feb-2021,39.61,39.75,39.01,39.43,208200
ABMD,05-Feb-2021,326.85,331.3,323.85,327.85,255400
ABNB,05-Feb-2021,197,197.25,190.25,195.31,2868600
ABR,05-Feb-2021,15.5,15.8,15.43,15.45,998000
ABR-A,05-Feb-2021,26.17,26.325,26.17,26.2516,4600
ABR-B,05-Feb-2021,25.71,25.71,25.7,25.7,600
ABR-C,05-Feb-2021,26.75,26.7749,26.44,26.7,1300
